0.2 	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.4 	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.596 	1.002 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.784 	1.008 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.9601 	1.01992 	2.00002 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.1206 	1.03952 	2.00012 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.2621 	1.06832 	2.00042 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.38158 	1.10754 	2.00111 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.4765 	1.15802 	2.00248 	3.00001 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.54486 	1.22018 	2.0049 	3.00002 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.58528 	1.29396 	2.00885 	3.00007 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.597 	1.37884 	2.0149 	3.00015 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.57996 	1.47378 	2.02372 	3.00033 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.53476 	1.57726 	2.03603 	3.00065 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.4627 	1.6873 	2.05261 	3.00121 	4.00001 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.36572 	1.80151 	2.07424 	3.00211 	4.00002 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.24636 	1.91712 	2.10171 	3.00351 	4.00005 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
1.10769 	2.0311 	2.13573 	3.00561 	4.00009 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.953276 	2.14022 	2.17692 	3.00866 	4.00017 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.787016 	2.24116 	2.22576 	3.01296 	4.0003 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.613092 	2.33059 	2.28256 	3.01886 	4.00052 	5.00001 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.43584 	2.40532 	2.34738 	3.02675 	4.00086 	5.00001 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.259632 	2.4624 	2.42004 	3.0371 	4.00138 	5.00002 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0887598 	2.49921 	2.50008 	3.0504 	4.00215 	5.00004 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0726807 	2.51356 	2.58671 	3.06716 	4.00326 	5.00008 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.220904 	2.50382 	2.67884 	3.08795 	4.00483 	5.00013 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.352539 	2.46895 	2.77503 	3.11329 	4.00701 	5.00022 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.464717 	2.40858 	2.87357 	3.1437 	4.00998 	5.00035 	6.00001 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.555155 	2.32305 	2.97244 	3.17968 	4.01394 	5.00054 	6.00001 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.622212 	2.21345 	3.06935 	3.22161 	4.01914 	5.00083 	6.00002 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.664936 	2.08155 	3.16184 	3.26981 	4.02587 	5.00125 	6.00003 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.683082 	1.92986 	3.24729 	3.32447 	4.03443 	5.00184 	6.00005 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.677113 	1.76151 	3.32303 	3.38561 	4.04519 	5.00267 	6.00009 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.648184 	1.5802 	3.38635 	3.45307 	4.05852 	5.0038 	6.00014 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.598097 	1.39012 	3.43469 	3.52651 	4.07484 	5.00534 	6.00021 	7.00001 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.529245 	1.19581 	3.46564 	3.60533 	4.09455 	5.00738 	6.00033 	7.00001 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.44453 	1.00207 	3.47706 	3.68872 	4.11808 	5.01007 	6.00049 	7.00001 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.347272 	0.813782 	3.46717 	3.7756 	4.14585 	5.01356 	6.00071 	7.00002 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.241102 	0.635774 	3.43466 	3.86466 	4.17824 	5.01804 	6.00103 	7.00004 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.129849 	0.47269 	3.37869 	3.95434 	4.21561 	5.0237 	6.00147 	7.00006 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0174169 	0.328826 	3.29903 	4.04285 	4.25825 	5.0308 	6.00207 	7.00009 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0923396 	0.207996 	3.19608 	4.12822 	4.30635 	5.0396 	6.00288 	7.00013 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.195733 	0.113406 	3.07085 	4.20831 	4.36002 	5.05039 	6.00396 	7.00019 	8.00001 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.289359 	0.0475404 	2.92507 	4.28085 	4.41924 	5.06347 	6.00537 	7.00028 	8.00001 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.370204 	0.0120724 	2.76109 	4.34354 	4.48385 	5.07919 	6.00721 	7.0004 	8.00001 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.435738 	0.00779788 	2.58189 	4.39406 	4.55352 	5.09788 	6.00959 	7.00058 	8.00002 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.483989 	0.0345948 	2.39102 	4.43015 	4.62773 	5.1199 	6.01261 	7.00081 	8.00003 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.513603 	0.0914121 	2.19254 	4.44971 	4.7058 	5.14559 	6.01643 	7.00113 	8.00005 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.523882 	0.176288 	1.99088 	4.45087 	4.78682 	5.17529 	6.0212 	7.00156 	8.00008 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.514804 	0.286396 	1.79078 	4.43201 	4.86967 	5.2093 	6.02711 	7.00214 	8.00011 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.487012 	0.418127 	1.59714 	4.3919 	4.95304 	5.24788 	6.03436 	7.00289 	8.00016 	9.00001 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.441787 	0.567185 	1.41487 	4.32977 	5.03544 	5.29125 	6.04319 	7.00388 	8.00023 	9.00001 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.381003 	0.728723 	1.24875 	4.2453 	5.11517 	5.33953 	6.05384 	7.00515 	8.00032 	9.00001 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.307055 	0.897483 	1.1033 	4.13873 	5.1904 	5.39277 	6.06657 	7.00678 	8.00045 	9.00002 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
